[08/29 18:49:31] psnet5 INFO: Full config saved to log/psnet5/respointnet2_dp_fi_df_fc1_max_20260829184931/config.json
[08/29 18:49:33] psnet5 INFO: length of training dataset: 2000
[08/29 18:49:33] psnet5 INFO: length of validation dataset: 2000
[08/29 18:49:39] psnet5 INFO: Train: [1/3][0/1000]	T 5.489 (5.489)	DT 0.154 (0.154)	loss 1.662 (1.662)
[08/29 18:49:50] psnet5 INFO: Train: [1/3][10/1000]	T 0.951 (1.484)	DT 0.000 (0.014)	loss 1.577 (1.631)
[08/29 18:50:00] psnet5 INFO: Train: [1/3][20/1000]	T 1.055 (1.264)	DT 0.000 (0.007)	loss 1.781 (1.624)
[08/29 18:50:11] psnet5 INFO: Train: [1/3][30/1000]	T 1.185 (1.202)	DT 0.000 (0.005)	loss 0.857 (1.516)
[08/29 18:50:21] psnet5 INFO: Train: [1/3][40/1000]	T 1.047 (1.154)	DT 0.000 (0.004)	loss 0.650 (1.435)
[08/29 18:50:31] psnet5 INFO: Train: [1/3][50/1000]	T 0.950 (1.118)	DT 0.000 (0.003)	loss 1.181 (1.425)
[08/29 18:50:40] psnet5 INFO: Train: [1/3][60/1000]	T 0.910 (1.089)	DT 0.000 (0.003)	loss 3.274 (1.434)
[08/29 18:50:50] psnet5 INFO: Train: [1/3][70/1000]	T 0.910 (1.070)	DT 0.000 (0.002)	loss 1.397 (1.495)
[08/29 18:50:59] psnet5 INFO: Train: [1/3][80/1000]	T 0.970 (1.056)	DT 0.000 (0.002)	loss 0.611 (1.488)
[08/29 18:51:09] psnet5 INFO: Train: [1/3][90/1000]	T 0.879 (1.046)	DT 0.000 (0.002)	loss 1.237 (1.446)
[08/29 18:51:19] psnet5 INFO: Train: [1/3][100/1000]	T 0.921 (1.040)	DT 0.000 (0.002)	loss 2.160 (1.436)
[08/29 18:51:28] psnet5 INFO: Train: [1/3][110/1000]	T 1.010 (1.035)	DT 0.000 (0.002)	loss 0.408 (1.443)
[08/29 18:51:39] psnet5 INFO: Train: [1/3][120/1000]	T 1.122 (1.035)	DT 0.000 (0.001)	loss 0.817 (1.428)
[08/29 18:51:49] psnet5 INFO: Train: [1/3][130/1000]	T 0.904 (1.030)	DT 0.000 (0.001)	loss 1.702 (1.408)
[08/29 18:51:58] psnet5 INFO: Train: [1/3][140/1000]	T 0.879 (1.027)	DT 0.000 (0.001)	loss 0.946 (1.403)
[08/29 18:52:08] psnet5 INFO: Train: [1/3][150/1000]	T 0.967 (1.023)	DT 0.000 (0.001)	loss 0.788 (1.398)
[08/29 18:52:18] psnet5 INFO: Train: [1/3][160/1000]	T 0.886 (1.022)	DT 0.000 (0.001)	loss 1.454 (1.392)
[08/29 18:52:28] psnet5 INFO: Train: [1/3][170/1000]	T 0.929 (1.020)	DT 0.000 (0.001)	loss 0.700 (1.365)
[08/29 18:52:38] psnet5 INFO: Train: [1/3][180/1000]	T 0.941 (1.019)	DT 0.000 (0.001)	loss 0.438 (1.338)
[08/29 18:52:48] psnet5 INFO: Train: [1/3][190/1000]	T 0.931 (1.019)	DT 0.000 (0.001)	loss 0.736 (1.359)
[08/29 18:52:58] psnet5 INFO: Train: [1/3][200/1000]	T 1.212 (1.018)	DT 0.000 (0.001)	loss 0.816 (1.359)
[08/29 18:53:09] psnet5 INFO: Train: [1/3][210/1000]	T 1.067 (1.021)	DT 0.000 (0.001)	loss 1.917 (1.347)
[08/29 18:53:19] psnet5 INFO: Train: [1/3][220/1000]	T 0.962 (1.020)	DT 0.000 (0.001)	loss 0.742 (1.332)
[08/29 18:53:29] psnet5 INFO: Train: [1/3][230/1000]	T 1.110 (1.021)	DT 0.000 (0.001)	loss 1.618 (1.329)
[08/29 18:53:39] psnet5 INFO: Train: [1/3][240/1000]	T 1.092 (1.020)	DT 0.000 (0.001)	loss 1.077 (1.319)
[08/29 18:53:50] psnet5 INFO: Train: [1/3][250/1000]	T 1.002 (1.021)	DT 0.000 (0.001)	loss 0.730 (1.308)
[08/29 18:54:01] psnet5 INFO: Train: [1/3][260/1000]	T 1.011 (1.023)	DT 0.000 (0.001)	loss 0.696 (1.300)
